catid,artid,cat_name,art_details,art_name,ref,art_price
232,2168,Animales de plástico,Oveja de durexina de 8cm,Oveja de durexina,522,1.7
206,2169,Animales resina,Oveja de marmolina de 8-10cm,Oveja de marmolina,28079,1.9
206,2170,Animales resina,Oveja de resina para figuras de 15-21cm.,Oveja grande,28352,3.9
232,2171,Animales de plástico,oveja de durexina para figuras de 15 cm,oveja gr durexina,652,3.2
206,2172,Animales resina,oveja de resina para figuras de 10-12cm,oveja mediana,28052,2.8
206,2173,Animales resina,Gato resina 2cm dormido en cesta ,Gato dormido mini,824,3.3
206,2174,Animales resina,tortuga de resina 1cm,Tortuga mini,533 mini,1.5
206,2175,Animales resina,tortuga de resina 2.5cm,Tortuga mediana,533 med,1.5
206,2176,Animales resina,gato dormido de 3 cm. en cesta de mimbre ,Gato dormido mediano,824 med ,3.3
206,2177,Animales resina,gato grande 4 cm. 6 modelos. Precio unidad,Gato grande,545 gr. ,2
232,2180,Animales de plástico,Mula para figuras de 8-12cm,Mula durexina,627,4
232,2181,Animales de plástico,Camello para figuras de 8-12cm,Camello durexina,628,4.2
232,2182,Animales de plástico,Vaca para figuras de 15 cm,Vaca Durexina,655,5.5
232,2183,Animales de plástico,gallinas para figuras de 8 a 12 cm,Gallina Durexina,661,1.7
232,2184,Animales de plástico,Ovejas para figuras de 8 a 12 cm,Oveja Durexina,662,1.9
232,2185,Animales de plástico,Cabra para figuras de 8 a 12 cm,Cabra Durexina,664,2
232,2186,Animales de plástico,Vaca para figuras de 8 a 12 cm,Vaca Durexina,665,4
232,2187,Animales de plástico,Ganso para figuras de 8 a 12 cm,Ganso Durexina,671,1.7
206,2188,Animales resina,Gallo de marmolina para figuras de 10 a 12 cm,Gallo mediano,28050M,1.9
206,2189,Animales resina,Gallo de marmolina para figuras de 15 a 21 cm,Gallo grande,28350G,2.7
206,2190,Animales resina,Gallina de marmolina para figuras de 15 a 21 cm,Gallina grande,28351G,2.7
206,2191,Animales resina,Gallina de marmolina para figuras de 10 a 12 cm,Gallina mediana,28051M ,1.9
206,2192,Animales resina,Cerdo de marmolina para figuras de 10 a 12 cm,Cerdo mediano,28053M,3.9
206,2193,Animales resina,Cerdo de marmolina para figuras de 15 a 21 cm,Cerdo grande,28353,7
206,2194,Animales resina,Vaca de marmolina para figuras de 10 a 12 cm,Vaca,28055,5.5
206,2195,Animales resina,Ganso de marmolina para figuras de 10 a 12 cm,Oca mediana,28063M ,1.9
